"(PDH-CSV 4.0) (SE Asia Standard Time)(-420)","\\LAPTOP-13D8LAOO\Memory\Page Faults/sec","\\LAPTOP-13D8LAOO\Memory\Pages Input/sec","\\LAPTOP-13D8LAOO\Memory\Pages/sec","\\LAPTOP-13D8LAOO\Memory\Available MBytes","\\LAPTOP-13D8LAOO\Memory\% Committed Bytes In Use","\\LAPTOP-13D8LAOO\Paging File(_Total)\% Usage"
"12/20/2025 21:23:51.664"," "," "," ","2050","47.984319261271579649","6.0812809828697895753"
"12/20/2025 21:23:52.656","14618.430247663722184","2167.8209901912900932","2167.8209901912900932","2048","47.894441789922872488","5.7020901792066123193"
"12/20/2025 21:23:53.653","4862.759881930184747","0","0","2053","47.889766992975438598","5.7020901792066123193"
"12/20/2025 21:23:54.650","5354.6039806571707231","17.06566697997223514","17.06566697997223514","2050","47.864789061216825417","5.7020901792066123193"
"12/20/2025 21:23:55.664","28395.186279739478778","53.253917935120753668","53.253917935120753668","2025","48.030832560740137183","5.7020901792066123193"
"12/20/2025 21:23:56.660","6453.3031396238238813","16.06048378192271997","16.06048378192271997","2023","48.006597917528495145","5.7020901792066123193"
"12/20/2025 21:23:57.659","4613.9359887207338033","0","0","2024","48.00194267835512818","5.7020901792066123193"
"12/20/2025 21:23:58.662","73088.820978763498715","54.852020219850885496","54.852020219850885496","2095","47.633083199065431756","5.7020901792066123193"
"12/20/2025 21:23:59.660","29420.679670671834174","23.031061993310377289","23.031061993310377289","2099","47.606560040173718562","5.7020901792066123193"
"12/20/2025 21:24:00.658","17593.925465733937017","18.038884619686196942","18.038884619686196942","2080","47.700036537763672584","5.7020901792066123193"
"12/20/2025 21:24:01.661","12348.723895413773789","445.61876009122119058","445.61876009122119058","2062","47.770804038217946186","5.7020901792066123193"
"12/20/2025 21:24:02.664","5155.4362534943256833","0","0","2074","47.718853095480909587","5.7020901792066123193"
"12/20/2025 21:24:03.667","4451.0804235283758317","0","0","2071","47.730276046257998246","5.7020901792066123193"
"12/20/2025 21:24:04.665","5941.5681309001538466","22.054074384984541979","22.054074384984541979","2072","47.743615845158601019","5.7020901792066123193"
"12/20/2025 21:24:05.667","34989.29219053612178","7.9856880498770115295","7.9856880498770115295","2030","48.059800674221428096","5.7020901792066123193"
